Date,Open,High,Low,Close,Adj Close,Volume
2019-11-29,3.480000,3.510000,3.470000,3.500000,3.485417,7059900
2019-12-02,3.530000,3.540000,3.430000,3.460000,3.445583,23665200
2019-12-03,3.500000,3.510000,3.440000,3.470000,3.455542,24837600
2019-12-04,3.490000,3.530000,3.430000,3.450000,3.435625,33256000
2019-12-05,3.450000,3.510000,3.440000,3.480000,3.465500,17146000
2019-12-06,3.480000,3.510000,3.450000,3.480000,3.465500,15831700
2019-12-09,3.430000,3.450000,3.410000,3.420000,3.405750,15634900
2019-12-10,3.430000,3.450000,3.410000,3.420000,3.405750,17615100
2019-12-11,3.450000,3.470000,3.440000,3.470000,3.455542,11935300
2019-12-12,3.500000,3.580000,3.500000,3.570000,3.555125,23165000
2019-12-13,3.580000,3.620000,3.520000,3.520000,3.505333,20458200
2019-12-16,3.580000,3.600000,3.560000,3.590000,3.575042,13082000
2019-12-17,3.630000,3.630000,3.600000,3.600000,3.585000,17659100
2019-12-18,3.610000,3.620000,3.580000,3.600000,3.585000,16100900
2019-12-19,3.610000,3.630000,3.570000,3.590000,3.575042,16346200
2019-12-20,3.600000,3.610000,3.570000,3.610000,3.594958,21917300
2019-12-23,3.610000,3.640000,3.590000,3.640000,3.624833,16354800
2019-12-24,3.620000,3.640000,3.610000,3.630000,3.614875,6768300
2019-12-26,3.630000,3.640000,3.620000,3.620000,3.604917,9053900
2019-12-27,3.610000,3.630000,3.610000,3.630000,3.614875,9342100
2019-12-30,3.650000,3.720000,3.630000,3.690000,3.674625,27043500
2019-12-31,3.700000,3.730000,3.690000,3.710000,3.694542,14346300
2020-01-02,3.840000,3.890000,3.820000,3.870000,3.853875,33109500
2020-01-03,3.830000,3.870000,3.810000,3.810000,3.794125,25010100
2020-01-06,3.830000,3.990000,3.820000,3.940000,3.923584,59904600
2020-01-07,3.960000,4.010000,3.940000,3.950000,3.933542,36689900
2020-01-08,4.020000,4.050000,4.010000,4.020000,4.003250,32084900
2020-01-09,4.070000,4.080000,4.000000,4.010000,3.993292,25058700
2020-01-10,4.040000,4.070000,4.020000,4.020000,4.003250,21242100
2020-01-13,4.100000,4.110000,4.050000,4.060000,4.043083,29863200
2020-01-14,4.020000,4.040000,3.990000,4.010000,3.993292,23327700
2020-01-15,4.010000,4.100000,4.000000,4.060000,4.043083,21152700
2020-01-16,4.130000,4.240000,4.130000,4.200000,4.182500,30481300
2020-01-17,4.210000,4.220000,4.120000,4.140000,4.122750,28399600
2020-01-21,4.160000,4.170000,4.090000,4.130000,4.112792,21274900
2020-01-22,4.100000,4.140000,4.090000,4.090000,4.072958,19525800
2020-01-23,4.060000,4.080000,4.020000,4.060000,4.043083,27092100
2020-01-24,4.090000,4.090000,4.000000,4.050000,4.033125,29042800
2020-01-27,3.940000,3.980000,3.900000,3.940000,3.923584,31964400
2020-01-28,3.990000,4.070000,3.980000,4.020000,4.003250,23543500
2020-01-29,4.000000,4.020000,3.900000,3.910000,3.893708,27725800
2020-01-30,3.880000,3.960000,3.870000,3.960000,3.943500,23305200
2020-01-31,3.920000,3.920000,3.860000,3.880000,3.863833,25612100
2020-02-03,3.930000,3.940000,3.860000,3.880000,3.863833,31627300
